City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Verāval,20.9,70.3667,75.99,61,18,10.47,IN,1667866345
Illapel,-31.6308,-71.1653,64.18,71,100,3.58,CL,1667866345
Popondetta,-8.7537,148.2534,90.3,48,84,3.4,PG,1667866345
Galich,58.3797,42.3475,32.72,95,98,7.58,RU,1667866346
Egvekinot,66.3167,-179.1667,19.33,86,100,15.64,RU,1667866346
Novikovo,51.1537,37.8879,37.38,75,100,5.5,RU,1667866347
Padang,-0.9492,100.3543,75.25,84,100,2.62,ID,1667866347
Ishigaki,24.3448,124.1572,76.15,82,63,17.0,JP,1667866347
Polson,47.6936,-114.1632,23.22,79,100,4.0,US,1667866348
Baie-Saint-Paul,47.4411,-70.4986,45.99,60,3,5.99,CA,1667866270
Lavrentiya,65.5833,-171.0,28.98,97,100,22.39,RU,1667866343
Turka,49.1541,23.0297,37.8,91,63,4.41,UA,1667866348
Hambantota,6.1241,81.1185,77.27,84,99,3.74,LK,1667866328
Haines Junction,60.7522,-137.5108,8.56,81,21,0.76,CA,1667866349
Auki,-8.7676,160.7034,82.17,79,79,7.05,SB,1667866350
Ponta Delgada,37.7333,-25.6667,61.52,82,20,3.44,PT,1667866350
Kerema,-7.9631,145.7785,83.62,69,100,5.14,PG,1667866350
Flinders,-34.5833,150.8552,72.37,66,45,8.25,AU,1667866351
Manbij,36.5281,37.9549,55.51,86,100,6.4,SY,1667866351
Port Hardy,50.6996,-127.4199,32.31,51,1,18.92,CA,1667866352
Sioux Lookout,50.1001,-91.917,23.29,92,92,1.41,CA,1667866352
Faya,18.3851,42.4509,57.72,86,12,3.38,SA,1667866325
Abū Zabad,12.35,29.25,75.24,21,82,11.52,SD,1667866353
Urusha,54.05,122.9,10.2,92,56,1.05,RU,1667866353
Portland,45.5234,-122.6762,43.84,91,100,7.0,US,1667866164
Suileng,47.25,127.0833,30.7,57,23,5.91,CN,1667866354
Mâncio Lima,-7.6142,-72.8958,78.82,55,39,2.62,BR,1667866354
Porto Belo,-27.1578,-48.5531,66.15,81,3,13.27,BR,1667866355
Āsind,25.7333,74.3333,74.32,35,79,4.38,IN,1667866355
Atambua,-9.1061,124.8925,81.61,66,98,0.34,ID,1667866355
Jiexiu,37.0244,111.9125,46.63,50,4,1.97,CN,1667866356
Mnogovershinnyy,53.9353,139.9242,15.03,72,24,6.85,RU,1667866356
Sinnamary,5.3833,-52.95,78.26,87,87,9.44,GF,1667866356
Xining,36.6167,101.7667,36.81,65,12,1.54,CN,1667866357
Port Blair,11.6667,92.75,79.43,81,90,10.78,IN,1667866357
Tando Jam,25.4272,68.5362,72.86,41,6,8.66,PK,1667866358
Waddān,29.1614,16.139,60.08,69,0,5.5,LY,1667866358
Sibolga,1.7427,98.7792,76.21,84,100,2.55,ID,1667866359
Huambo,-12.7761,15.7392,62.37,78,64,1.79,AO,1667866132
Kampong Thom,12.7111,104.8887,74.17,91,47,4.92,KH,1667866360
Zyryanka,65.75,150.85,-4.85,98,100,11.23,RU,1667866360
Ostrovnoy,68.0531,39.5131,27.68,94,73,5.3,RU,1667866360
Harper,4.375,-7.7169,78.71,83,94,6.62,LR,1667866361
Khovd,48.0056,91.6419,34.88,43,96,10.22,MN,1667866361
Bachaquero,9.9694,-71.1494,81.79,75,68,5.12,VE,1667866362
Boromo,11.75,-2.9333,74.88,18,23,6.44,BF,1667866362
Siderno,38.2779,16.302,60.49,74,8,6.02,IT,1667866362
San Jose,37.3394,-121.895,58.32,68,75,13.8,US,1667866078
Sistranda,63.7256,8.834,40.96,68,94,5.57,NO,1667866363
Eenhana,-17.4667,16.3333,70.99,31,0,10.42,NA,1667866363
General José Eduvigis Díaz,-27.1667,-58.4167,73.44,47,4,6.78,PY,1667866363
Sikasso,10.9167,-7.0,74.77,35,80,4.76,ML,1667866364
Lima,-12.0432,-77.0282,67.89,73,0,9.22,PE,1667866223
La Ronge,55.1001,-105.2842,10.62,79,75,10.36,CA,1667866365
Moyale,3.5167,39.0584,69.39,68,99,6.49,KE,1667866365
Harsīn,34.2721,47.5861,42.39,35,0,2.86,IR,1667866366
Constitución,-35.3333,-72.4167,54.97,81,100,9.89,CL,1667866301
Normandin,48.8333,-72.5321,37.71,60,49,15.79,CA,1667866366
Aracruz,-19.8203,-40.2733,66.81,81,45,1.28,BR,1667866366
São Filipe,14.8961,-24.4956,78.19,66,77,3.87,CV,1667866367
Kampot,10.6167,104.1833,77.05,86,72,4.27,KH,1667866206
Karratha,-20.7377,116.8463,70.75,50,0,15.95,AU,1667866367
Kharp,66.8014,65.8081,18.39,90,94,7.58,RU,1667866368
Strogonovka,44.9431,34.1973,38.03,79,39,2.82,UA,1667866368
Cristineşti,48.1,26.3833,53.38,83,100,4.0,RO,1667866369
Lüderitz,-26.6481,15.1594,61.34,88,41,9.42,NA,1667866369
Almaznyy,48.0448,40.045,30.58,88,46,6.49,RU,1667866369
Okhotsk,59.3833,143.3,7.72,70,29,19.37,RU,1667866370
Øksfjord,70.2396,22.3479,37.58,86,91,3.44,NO,1667866370
Sorgun,39.8101,35.186,46.81,86,99,8.03,TR,1667866371
Kartuzy,54.3342,18.1974,48.78,93,0,9.22,PL,1667866371
Mombasa,-4.0547,39.6636,75.97,90,12,5.59,KE,1667866371
São Francisco do Sul,-26.2433,-48.6381,61.79,84,10,5.5,BR,1667866372
Southbridge,42.0751,-72.0334,61.86,42,2,11.68,US,1667866372
Kidal,18.4411,1.4078,73.8,16,93,10.87,ML,1667866373
Puerto Escondido,15.85,-97.0667,83.23,65,75,5.75,MX,1667866373
Saint-Pierre,-21.3393,55.4781,71.28,68,0,4.61,RE,1667866373
Esmeraldas,-19.7625,-44.3139,64.51,92,79,1.36,BR,1667866374
Banyliv,48.3661,25.3455,50.72,84,100,1.68,UA,1667866374
Brae,60.3964,-1.353,51.87,97,100,21.56,GB,1667866374
Yanai,33.9667,132.1167,59.0,54,0,3.87,JP,1667866375
Baoro,5.6667,15.9667,68.9,75,100,1.68,CF,1667866375
Kozan,37.4552,35.8157,60.84,70,100,3.53,TR,1667866296
Makkah al Mukarramah,21.4267,39.8261,76.26,67,0,3.11,SA,1667866376
San Alberto,7.7611,-73.3922,76.96,89,89,3.94,CO,1667866376
Khāsh,28.2211,61.2158,57.7,48,51,0.6,IR,1667866366
Ngunguru,-35.6167,174.5,60.17,97,100,27.27,NZ,1667866311
Ormara,25.2088,64.6357,78.15,66,0,3.22,PK,1667866377
Hanyang,32.1371,105.5126,55.98,85,99,1.41,CN,1667866377
Yelbarga,15.6333,76.0167,66.18,73,46,7.92,IN,1667866378
Nantucket,41.2835,-70.0995,64.51,94,0,9.22,US,1667866378
Kalat,29.0225,66.5916,51.64,66,76,3.15,PK,1667866379
Gilleleje,56.122,12.3106,53.67,89,64,18.19,DK,1667866379
Erzin,36.9559,36.2,60.64,73,100,2.39,TR,1667866379
Lauterbach,50.6333,9.4,51.46,96,59,6.51,DE,1667866380
Taoudenni,22.6783,-3.9836,75.72,18,12,11.52,ML,1667866380
Jumla,29.2747,82.1838,41.22,57,0,4.68,NP,1667866381
Jalu,29.0331,21.5482,63.39,74,63,9.95,LY,1667866356
Talara,-4.5772,-81.2719,63.1,91,19,14.18,PE,1667866381
Rawson,-43.3002,-65.1023,61.25,65,86,16.51,AR,1667866382
Kondinskoye,59.6481,67.41,19.2,98,79,8.66,RU,1667866382
Kwakoa,-3.7667,37.7167,68.65,86,86,4.7,TZ,1667866383
Olkhovka,53.2115,60.6069,20.82,93,74,5.37,RU,1667866383
Nālūt,30.3333,10.85,57.31,47,0,7.09,LY,1667866384
Altay,47.8667,88.1167,37.94,47,72,6.49,CN,1667866384
Natal,-5.795,-35.2094,78.58,70,98,9.24,BR,1667866116
Eirunepé,-6.6603,-69.8736,78.17,53,44,1.95,BR,1667866384
Salto,-31.3833,-57.9667,62.4,58,31,10.13,UY,1667866259
Turaif,31.6725,38.6637,58.44,54,0,8.88,SA,1667866385
Calama,-22.4667,-68.9333,63.09,12,0,16.11,CL,1667866155
Ambulu,-8.345,113.6058,78.46,86,75,2.04,ID,1667866386
Arusha,-3.3667,36.6833,63.48,89,66,5.77,TZ,1667866386
Vizinga,61.0749,50.1031,32.45,97,97,8.95,RU,1667866387
Ghātsīla,22.6,86.4833,67.05,71,5,2.66,IN,1667866387
Oranjemund,-28.55,16.4333,59.79,90,34,6.62,NA,1667866388
Mattawa,46.7379,-119.9028,50.0,62,92,14.0,US,1667866293
Karpathos,35.507,27.2132,64.36,82,1,21.85,GR,1667866389
Udalguri,26.7667,92.1333,63.73,80,2,4.07,IN,1667866389
Yulara,-25.2406,130.9889,86.04,32,69,11.79,AU,1667866390
Shetpe,44.1667,52.1167,32.2,82,6,3.74,KZ,1667866390
Nísia Floresta,-6.0911,-35.2086,76.66,75,99,7.9,BR,1667866391
Camopi,3.1655,-52.3158,72.66,98,87,2.91,GF,1667866391
Pedasí,7.5333,-80.0333,78.06,83,100,14.58,PA,1667866392
Kropotkin,45.4375,40.5756,39.38,76,100,14.58,RU,1667866392
Naze,28.3667,129.4833,68.47,60,11,10.07,JP,1667866392
Sibu,2.3,111.8167,74.14,98,100,0.94,MY,1667866393
Lata,40.1629,-8.3327,60.93,96,99,5.99,PT,1667866393
Awjilah,29.1081,21.2869,63.28,75,40,9.51,LY,1667866393
Derzhavīnsk,51.1,66.3167,24.4,94,95,4.76,KZ,1667866394
San Policarpo,12.1791,125.5072,82.81,81,100,6.35,PH,1667866394
Kang,-23.6752,22.7876,60.46,90,73,5.32,BW,1667866394
Le Port,-20.9373,55.2919,71.6,77,46,3.56,RE,1667866395
Badarpur,24.9,92.6,65.52,88,1,2.68,IN,1667866395
Labuan,5.2767,115.2417,80.47,82,88,6.22,MY,1667866396
Sendafa,9.15,39.0333,47.75,59,39,4.03,ET,1667866396
Lensk,60.7253,114.9278,21.15,91,100,10.67,RU,1667866397
Avrillé,47.5,-0.5833,53.58,60,82,18.3,FR,1667866397
Miyako,39.6367,141.9525,56.26,68,51,3.18,JP,1667866398
Vershino-Shakhtaminskiy,51.3012,117.8868,16.74,90,45,4.61,RU,1667866398
Saint-Joseph,-21.3667,55.6167,70.18,78,62,6.2,RE,1667866398
Bosaso,11.2842,49.1816,79.09,72,1,4.79,SO,1667866399
Krasnyy Kholm,58.0607,37.1203,34.47,98,100,9.98,RU,1667866399
Elhovo,42.1667,26.5667,47.98,91,38,2.46,BG,1667866400
Fort Nelson,58.8053,-122.7002,-0.06,100,7,2.68,CA,1667866400
Lucea,18.451,-78.1736,82.26,75,46,8.12,JM,1667866401
Negombo,7.2083,79.8358,75.25,100,20,5.75,LK,1667866174
Saint Anthony,45.0205,-93.218,35.82,65,20,10.36,US,1667866402
Cabañas,22.9758,-82.9219,77.47,75,28,15.19,CU,1667866402
Homer,59.6425,-151.5483,38.8,81,100,11.01,US,1667866378
Velventós,40.2517,22.0631,51.96,100,15,3.44,GR,1667866403
Sampit,-2.5333,112.95,75.36,92,100,3.38,ID,1667866403
Caloundra,-26.8,153.1333,74.89,67,79,5.01,AU,1667866403
Boa Vista,2.8197,-60.6733,77.34,85,80,6.67,BR,1667866404
Aginskoye,51.1,114.53,27.07,63,28,3.74,RU,1667866334
Antalaha,-14.9003,50.2788,67.98,86,65,5.7,MG,1667866404
Isparta Province,38.0,31.0,45.61,77,33,7.09,TR,1667866405
Tartagal,-22.5164,-63.8013,80.11,26,59,1.77,AR,1667866405
Macas,-2.3167,-78.1167,68.54,94,62,1.63,EC,1667866406
Tabou,4.423,-7.3528,78.78,82,86,6.29,CI,1667866406
Verkhnevilyuysk,63.4453,120.3167,-8.77,95,42,3.58,RU,1667866335
Mayumba,-3.432,10.6554,77.07,90,67,5.99,GA,1667866407
Sandwick,60.0,-1.25,53.42,94,100,14.97,GB,1667866407
Nipawin,53.3668,-104.0009,11.16,90,95,14.65,CA,1667866407
Severnoye,56.3491,78.3619,22.62,99,90,1.95,RU,1667866408
Moose Factory,51.2585,-80.6094,31.6,81,99,17.16,CA,1667866408
Arco,45.9177,10.8867,48.4,92,47,3.29,IT,1667866409
Superior,46.7208,-92.1041,39.09,67,0,8.05,US,1667866409
Punta de Piedra,7.6176,-71.4916,74.16,91,70,2.26,VE,1667866409
Borovskoy,53.8,64.15,28.17,98,100,4.56,KZ,1667866410
Grand Gaube,-20.0064,57.6608,69.39,78,3,4.0,MU,1667866410
Tonj,7.2737,28.6822,77.43,64,90,1.83,SS,1667866411
Cairns,-16.9167,145.7667,87.12,65,100,11.5,AU,1667866411
Taikang,46.8333,124.4167,34.66,54,89,7.54,CN,1667866412
Batagay,67.6333,134.6333,-5.28,98,100,3.6,RU,1667866321
Tsimmerbude,54.675,20.1347,48.96,85,100,16.06,RU,1667866412
Port Hawkesbury,45.6169,-61.3485,61.92,94,66,15.01,CA,1667866413
Matara,5.9485,80.5353,75.97,87,100,1.57,LK,1667866413
Kholbon,51.8833,116.25,26.49,79,79,4.97,RU,1667866414
Valdivia,-39.8142,-73.2459,60.89,92,47,3.13,CL,1667866414
Manacsac,15.5952,120.7911,79.32,81,86,3.44,PH,1667866414
Gölköy,40.6875,37.6178,47.61,98,100,2.3,TR,1667866415
Lerwick,60.1545,-1.1494,53.6,96,100,22.91,GB,1667866415
